date,commodity,unit,price
2015-03-09,Henry Hub Natural Gas,$/MMBtu,2.75
2015-03-09,WTI Crude,$/barrel,49.95
2015-03-10,Brent Crude,$/barrel,55.95
2015-03-10,Henry Hub Natural Gas,$/MMBtu,2.76
2015-03-10,WTI Crude,$/barrel,48.42
2015-03-11,Brent Crude,$/barrel,56.46
2015-03-11,Henry Hub Natural Gas,$/MMBtu,2.76
2015-03-11,WTI Crude,$/barrel,48.06
2015-03-12,Brent Crude,$/barrel,56.66
2015-03-12,Henry Hub Natural Gas,$/MMBtu,2.82
2015-03-12,WTI Crude,$/barrel,47.12
2015-03-13,Brent Crude,$/barrel,54.8
2015-03-13,Henry Hub Natural Gas,$/MMBtu,2.72
2015-03-13,WTI Crude,$/barrel,44.88
2015-03-16,Brent Crude,$/barrel,52.0
2015-03-16,Henry Hub Natural Gas,$/MMBtu,2.68
2015-03-16,WTI Crude,$/barrel,43.93
2015-03-17,Brent Crude,$/barrel,52.17
2015-03-17,Henry Hub Natural Gas,$/MMBtu,2.82
2015-03-17,WTI Crude,$/barrel,43.39
2015-03-18,Brent Crude,$/barrel,52.59
2015-03-18,Henry Hub Natural Gas,$/MMBtu,2.8
2015-03-18,WTI Crude,$/barrel,44.63
2015-03-19,Brent Crude,$/barrel,52.96
2015-03-19,Henry Hub Natural Gas,$/MMBtu,2.86
2015-03-19,WTI Crude,$/barrel,44.02
2015-03-20,Brent Crude,$/barrel,53.88
2015-03-20,Henry Hub Natural Gas,$/MMBtu,2.86
2015-03-20,WTI Crude,$/barrel,46.0
2015-03-23,Brent Crude,$/barrel,53.82
2015-03-23,Henry Hub Natural Gas,$/MMBtu,2.72
2015-03-23,WTI Crude,$/barrel,47.4
2015-03-24,Brent Crude,$/barrel,53.61
2015-03-24,Henry Hub Natural Gas,$/MMBtu,2.79
2015-03-24,WTI Crude,$/barrel,47.03
2015-03-25,Brent Crude,$/barrel,54.18
2015-03-25,Henry Hub Natural Gas,$/MMBtu,2.77
2015-03-25,WTI Crude,$/barrel,48.75
2015-03-26,Brent Crude,$/barrel,57.02
2015-03-26,Henry Hub Natural Gas,$/MMBtu,2.77
2015-03-26,WTI Crude,$/barrel,51.41
2015-03-27,Brent Crude,$/barrel,56.44
2015-03-27,Henry Hub Natural Gas,$/MMBtu,2.89
2015-03-27,WTI Crude,$/barrel,48.83
2015-03-30,Brent Crude,$/barrel,53.99
2015-03-30,Henry Hub Natural Gas,$/MMBtu,2.64
2015-03-30,WTI Crude,$/barrel,48.66
2015-03-31,Brent Crude,$/barrel,53.69
2015-03-31,Henry Hub Natural Gas,$/MMBtu,2.65
2015-03-31,WTI Crude,$/barrel,47.72
2015-04-01,Brent Crude,$/barrel,55.73
2015-04-01,Henry Hub Natural Gas,$/MMBtu,2.62
2015-04-01,WTI Crude,$/barrel,50.12
2015-04-02,Brent Crude,$/barrel,55.73
2015-04-02,Henry Hub Natural Gas,$/MMBtu,2.63
2015-04-02,WTI Crude,$/barrel,49.13
2015-04-06,Brent Crude,$/barrel,55.73
2015-04-06,Henry Hub Natural Gas,$/MMBtu,2.63
2015-04-06,WTI Crude,$/barrel,52.08
2015-04-07,Brent Crude,$/barrel,57.55
2015-04-07,Henry Hub Natural Gas,$/MMBtu,2.71
2015-04-07,WTI Crude,$/barrel,53.95
2015-04-08,Brent Crude,$/barrel,56.42
2015-04-08,Henry Hub Natural Gas,$/MMBtu,2.71
2015-04-08,WTI Crude,$/barrel,50.44
2015-04-09,Brent Crude,$/barrel,56.04
2015-04-09,Henry Hub Natural Gas,$/MMBtu,2.72
2015-04-09,WTI Crude,$/barrel,50.79
2015-04-10,Brent Crude,$/barrel,56.82
2015-04-10,Henry Hub Natural Gas,$/MMBtu,2.58
2015-04-10,WTI Crude,$/barrel,51.63
2015-04-13,Brent Crude,$/barrel,57.14
2015-04-13,Henry Hub Natural Gas,$/MMBtu,2.58
2015-04-13,WTI Crude,$/barrel,51.95
2015-04-14,Brent Crude,$/barrel,57.69
2015-04-14,Henry Hub Natural Gas,$/MMBtu,2.58
2015-04-14,WTI Crude,$/barrel,53.3
2015-04-15,Brent Crude,$/barrel,59.32
2015-04-15,Henry Hub Natural Gas,$/MMBtu,2.62
2015-04-15,WTI Crude,$/barrel,56.25
2015-04-16,Brent Crude,$/barrel,60.13
2015-04-16,Henry Hub Natural Gas,$/MMBtu,2.61
2015-04-16,WTI Crude,$/barrel,56.69
2015-04-17,Brent Crude,$/barrel,61.31
2015-04-17,Henry Hub Natural Gas,$/MMBtu,2.67
2015-04-17,WTI Crude,$/barrel,55.71
2015-04-20,Brent Crude,$/barrel,61.2
2015-04-20,Henry Hub Natural Gas,$/MMBtu,2.57
2015-04-20,WTI Crude,$/barrel,56.37
2015-04-21,Brent Crude,$/barrel,60.12
2015-04-21,Henry Hub Natural Gas,$/MMBtu,2.59
2015-04-21,WTI Crude,$/barrel,55.58
2015-04-22,Brent Crude,$/barrel,60.12
2015-04-22,Henry Hub Natural Gas,$/MMBtu,2.63
2015-04-22,WTI Crude,$/barrel,56.17
2015-04-23,Brent Crude,$/barrel,62.66
2015-04-23,Henry Hub Natural Gas,$/MMBtu,2.59
2015-04-23,WTI Crude,$/barrel,56.59
2015-04-24,Brent Crude,$/barrel,62.96
2015-04-24,Henry Hub Natural Gas,$/MMBtu,2.59
2015-04-24,WTI Crude,$/barrel,55.98
2015-04-27,Brent Crude,$/barrel,62.86
2015-04-27,Henry Hub Natural Gas,$/MMBtu,2.5
2015-04-27,WTI Crude,$/barrel,55.56
2015-04-28,Brent Crude,$/barrel,62.61
2015-04-28,Henry Hub Natural Gas,$/MMBtu,2.55
2015-04-28,WTI Crude,$/barrel,57.05
2015-04-29,Brent Crude,$/barrel,63.97
2015-04-29,Henry Hub Natural Gas,$/MMBtu,2.55
2015-04-29,WTI Crude,$/barrel,58.55
2015-04-30,Brent Crude,$/barrel,63.9
2015-04-30,Henry Hub Natural Gas,$/MMBtu,2.56
2015-04-30,WTI Crude,$/barrel,59.62
2015-05-01,Brent Crude,$/barrel,64.13
2015-05-01,Henry Hub Natural Gas,$/MMBtu,2.68
2015-05-01,WTI Crude,$/barrel,59.1
2015-05-04,Brent Crude,$/barrel,64.62
2015-05-04,Henry Hub Natural Gas,$/MMBtu,2.72
2015-05-04,WTI Crude,$/barrel,58.92
2015-05-05,Brent Crude,$/barrel,65.44
2015-05-05,Henry Hub Natural Gas,$/MMBtu,2.76
2015-05-05,WTI Crude,$/barrel,60.38
2015-05-06,Brent Crude,$/barrel,66.22
2015-05-06,Henry Hub Natural Gas,$/MMBtu,2.76
2015-05-06,WTI Crude,$/barrel,60.93
2015-05-07,Brent Crude,$/barrel,64.93
2015-05-07,Henry Hub Natural Gas,$/MMBtu,2.74
2015-05-07,WTI Crude,$/barrel,58.99
2015-05-08,Brent Crude,$/barrel,63.82
2015-05-08,Henry Hub Natural Gas,$/MMBtu,2.78
2015-05-08,WTI Crude,$/barrel,59.41
2015-05-11,Brent Crude,$/barrel,62.82
2015-05-11,Henry Hub Natural Gas,$/MMBtu,2.85
2015-05-11,WTI Crude,$/barrel,59.23
2015-05-12,Brent Crude,$/barrel,65.09
2015-05-12,Henry Hub Natural Gas,$/MMBtu,2.85
2015-05-12,WTI Crude,$/barrel,60.72
2015-05-13,Brent Crude,$/barrel,66.33
2015-05-13,Henry Hub Natural Gas,$/MMBtu,2.85
2015-05-13,WTI Crude,$/barrel,60.5
2015-05-14,Brent Crude,$/barrel,65.58
2015-05-14,Henry Hub Natural Gas,$/MMBtu,2.87
2015-05-14,WTI Crude,$/barrel,59.89
2015-05-15,Brent Crude,$/barrel,64.69
2015-05-15,Henry Hub Natural Gas,$/MMBtu,2.96
2015-05-15,WTI Crude,$/barrel,59.73
2015-05-18,Brent Crude,$/barrel,65.15
2015-05-18,Henry Hub Natural Gas,$/MMBtu,3.01
2015-05-18,WTI Crude,$/barrel,59.44
2015-05-19,Brent Crude,$/barrel,63.48
2015-05-19,Henry Hub Natural Gas,$/MMBtu,3.01
2015-05-19,WTI Crude,$/barrel,57.3
2015-05-20,Brent Crude,$/barrel,63.52
2015-05-20,Henry Hub Natural Gas,$/MMBtu,3.04
2015-05-20,WTI Crude,$/barrel,58.96
2015-05-21,Brent Crude,$/barrel,64.7
2015-05-21,Henry Hub Natural Gas,$/MMBtu,2.96
2015-05-21,WTI Crude,$/barrel,60.18
2015-05-22,Brent Crude,$/barrel,64.7
2015-05-22,Henry Hub Natural Gas,$/MMBtu,2.96
2015-05-22,WTI Crude,$/barrel,58.88
2015-05-26,Brent Crude,$/barrel,61.65
2015-05-26,Henry Hub Natural Gas,$/MMBtu,2.82
2015-05-26,WTI Crude,$/barrel,57.29
2015-05-27,Brent Crude,$/barrel,61.35
2015-05-27,Henry Hub Natural Gas,$/MMBtu,2.82
2015-05-27,WTI Crude,$/barrel,57.51
2015-05-28,Brent Crude,$/barrel,60.12
2015-05-28,Henry Hub Natural Gas,$/MMBtu,2.78
2015-05-28,WTI Crude,$/barrel,57.69
2015-05-29,Brent Crude,$/barrel,63.16
2015-05-29,Henry Hub Natural Gas,$/MMBtu,2.78
2015-05-29,WTI Crude,$/barrel,60.25
2015-06-01,Brent Crude,$/barrel,62.87
2015-06-01,Henry Hub Natural Gas,$/MMBtu,2.78
2015-06-01,WTI Crude,$/barrel,60.24
2015-06-02,Brent Crude,$/barrel,63.14
2015-06-02,Henry Hub Natural Gas,$/MMBtu,2.63
2015-06-02,WTI Crude,$/barrel,61.3
2015-06-03,Brent Crude,$/barrel,62.78
2015-06-03,Henry Hub Natural Gas,$/MMBtu,2.65
2015-06-03,WTI Crude,$/barrel,59.67
2015-06-04,Brent Crude,$/barrel,60.34
2015-06-04,Henry Hub Natural Gas,$/MMBtu,2.6
2015-06-04,WTI Crude,$/barrel,58.0
2015-06-05,Brent Crude,$/barrel,60.36
2015-06-05,Henry Hub Natural Gas,$/MMBtu,2.6
2015-06-05,WTI Crude,$/barrel,59.11
2015-06-08,Brent Crude,$/barrel,61.33
2015-06-08,Henry Hub Natural Gas,$/MMBtu,2.6
2015-06-08,WTI Crude,$/barrel,58.15
2015-06-09,Brent Crude,$/barrel,63.23
2015-06-09,Henry Hub Natural Gas,$/MMBtu,2.72
2015-06-09,WTI Crude,$/barrel,60.15
2015-06-10,Brent Crude,$/barrel,64.68
2015-06-10,Henry Hub Natural Gas,$/MMBtu,2.81
2015-06-10,WTI Crude,$/barrel,61.36
2015-06-11,Brent Crude,$/barrel,63.76
2015-06-11,Henry Hub Natural Gas,$/MMBtu,2.88
2015-06-11,WTI Crude,$/barrel,60.74
2015-06-12,Brent Crude,$/barrel,63.19
2015-06-12,Henry Hub Natural Gas,$/MMBtu,2.88
2015-06-12,WTI Crude,$/barrel,59.96
2015-06-15,Brent Crude,$/barrel,60.99
2015-06-15,Henry Hub Natural Gas,$/MMBtu,2.89
2015-06-15,WTI Crude,$/barrel,59.53
2015-06-16,Brent Crude,$/barrel,60.75
2015-06-16,Henry Hub Natural Gas,$/MMBtu,2.94
2015-06-16,WTI Crude,$/barrel,60.01
2015-06-17,Brent Crude,$/barrel,60.75
2015-06-17,Henry Hub Natural Gas,$/MMBtu,2.93
2015-06-17,WTI Crude,$/barrel,59.89
2015-06-18,Brent Crude,$/barrel,61.37
2015-06-18,Henry Hub Natural Gas,$/MMBtu,2.93
2015-06-18,WTI Crude,$/barrel,60.41
2015-06-19,Brent Crude,$/barrel,59.41
2015-06-19,Henry Hub Natural Gas,$/MMBtu,2.81
2015-06-19,WTI Crude,$/barrel,59.62
2015-06-22,Brent Crude,$/barrel,60.54
2015-06-22,Henry Hub Natural Gas,$/MMBtu,2.79
2015-06-22,WTI Crude,$/barrel,60.01
2015-06-23,Brent Crude,$/barrel,61.67
2015-06-23,Henry Hub Natural Gas,$/MMBtu,2.83
2015-06-23,WTI Crude,$/barrel,61.05
2015-06-24,Brent Crude,$/barrel,61.63
2015-06-24,Henry Hub Natural Gas,$/MMBtu,2.83
2015-06-24,WTI Crude,$/barrel,60.01
2015-06-25,Brent Crude,$/barrel,60.24
2015-06-25,Henry Hub Natural Gas,$/MMBtu,2.8
2015-06-25,WTI Crude,$/barrel,59.59
2015-06-26,Brent Crude,$/barrel,60.14
2015-06-26,Henry Hub Natural Gas,$/MMBtu,2.77
2015-06-26,WTI Crude,$/barrel,59.41
2015-06-29,Brent Crude,$/barrel,59.03
2015-06-29,Henry Hub Natural Gas,$/MMBtu,2.77
2015-06-29,WTI Crude,$/barrel,58.34
2015-06-30,Brent Crude,$/barrel,60.31
2015-06-30,Henry Hub Natural Gas,$/MMBtu,2.8
2015-06-30,WTI Crude,$/barrel,59.48
2015-07-01,Brent Crude,$/barrel,61.65
2015-07-01,Henry Hub Natural Gas,$/MMBtu,2.78
2015-07-01,WTI Crude,$/barrel,56.94
2015-07-02,Brent Crude,$/barrel,61.73
2015-07-02,Henry Hub Natural Gas,$/MMBtu,2.79
2015-07-02,WTI Crude,$/barrel,56.93
2015-07-03,Brent Crude,$/barrel,59.06
2015-07-03,Henry Hub Natural Gas,$/MMBtu,2.79
2015-07-06,Brent Crude,$/barrel,57.19
2015-07-06,Henry Hub Natural Gas,$/MMBtu,2.79
2015-07-06,WTI Crude,$/barrel,52.48
2015-07-07,Brent Crude,$/barrel,54.72
2015-07-07,Henry Hub Natural Gas,$/MMBtu,2.77
2015-07-07,WTI Crude,$/barrel,52.33
2015-07-08,Brent Crude,$/barrel,55.7
2015-07-08,Henry Hub Natural Gas,$/MMBtu,2.77
2015-07-08,WTI Crude,$/barrel,51.61
2015-07-09,Brent Crude,$/barrel,57.83
2015-07-09,Henry Hub Natural Gas,$/MMBtu,2.7
2015-07-09,WTI Crude,$/barrel,52.76
2015-07-10,Brent Crude,$/barrel,57.72
2015-07-10,Henry Hub Natural Gas,$/MMBtu,2.7
2015-07-10,WTI Crude,$/barrel,52.74
2015-07-13,Brent Crude,$/barrel,57.63
2015-07-13,Henry Hub Natural Gas,$/MMBtu,2.88
2015-07-13,WTI Crude,$/barrel,52.19
2015-07-14,Brent Crude,$/barrel,57.2
2015-07-14,Henry Hub Natural Gas,$/MMBtu,2.88
2015-07-14,WTI Crude,$/barrel,53.05
2015-07-15,Brent Crude,$/barrel,57.34
2015-07-15,Henry Hub Natural Gas,$/MMBtu,2.93
2015-07-15,WTI Crude,$/barrel,51.4
2015-07-16,Brent Crude,$/barrel,57.31
2015-07-16,Henry Hub Natural Gas,$/MMBtu,2.9
2015-07-16,WTI Crude,$/barrel,50.9
2015-07-17,Brent Crude,$/barrel,56.38
2015-07-17,Henry Hub Natural Gas,$/MMBtu,2.88
2015-07-17,WTI Crude,$/barrel,50.88
2015-07-20,Brent Crude,$/barrel,56.42
2015-07-20,Henry Hub Natural Gas,$/MMBtu,2.88
2015-07-20,WTI Crude,$/barrel,50.11
2015-07-21,Brent Crude,$/barrel,55.94
2015-07-21,Henry Hub Natural Gas,$/MMBtu,2.84
2015-07-21,WTI Crude,$/barrel,50.59
2015-07-22,Brent Crude,$/barrel,56.36
2015-07-22,Henry Hub Natural Gas,$/MMBtu,2.84
2015-07-22,WTI Crude,$/barrel,49.27
2015-07-23,Brent Crude,$/barrel,55.76
2015-07-23,Henry Hub Natural Gas,$/MMBtu,2.92
2015-07-23,WTI Crude,$/barrel,48.11
2015-07-24,Brent Crude,$/barrel,54.29
2015-07-24,Henry Hub Natural Gas,$/MMBtu,2.92
2015-07-24,WTI Crude,$/barrel,47.98
2015-07-27,Brent Crude,$/barrel,54.07
2015-07-27,Henry Hub Natural Gas,$/MMBtu,2.92
2015-07-27,WTI Crude,$/barrel,47.17
2015-07-28,Brent Crude,$/barrel,54.3
2015-07-28,Henry Hub Natural Gas,$/MMBtu,2.89
2015-07-28,WTI Crude,$/barrel,47.97
2015-07-29,Brent Crude,$/barrel,54.73
2015-07-29,Henry Hub Natural Gas,$/MMBtu,2.91
2015-07-29,WTI Crude,$/barrel,48.77
2015-07-30,Brent Crude,$/barrel,54.29
2015-07-30,Henry Hub Natural Gas,$/MMBtu,2.87
2015-07-30,WTI Crude,$/barrel,48.53
2015-07-31,Brent Crude,$/barrel,53.29
2015-07-31,Henry Hub Natural Gas,$/MMBtu,2.76
2015-07-31,WTI Crude,$/barrel,47.11
2015-08-03,Brent Crude,$/barrel,49.49
2015-08-03,Henry Hub Natural Gas,$/MMBtu,2.76
2015-08-03,WTI Crude,$/barrel,45.25
2015-08-04,Brent Crude,$/barrel,49.08
2015-08-04,Henry Hub Natural Gas,$/MMBtu,2.83
2015-08-04,WTI Crude,$/barrel,45.75
2015-08-05,Brent Crude,$/barrel,49.04
2015-08-05,Henry Hub Natural Gas,$/MMBtu,2.85
2015-08-05,WTI Crude,$/barrel,45.13
2015-08-06,Brent Crude,$/barrel,47.8
2015-08-06,Henry Hub Natural Gas,$/MMBtu,2.76
2015-08-06,WTI Crude,$/barrel,44.69
2015-08-07,Brent Crude,$/barrel,47.54
2015-08-07,Henry Hub Natural Gas,$/MMBtu,2.76
2015-08-07,WTI Crude,$/barrel,43.87
2015-08-10,Brent Crude,$/barrel,48.3
2015-08-10,Henry Hub Natural Gas,$/MMBtu,2.85
2015-08-10,WTI Crude,$/barrel,44.94
2015-08-11,Brent Crude,$/barrel,47.33
2015-08-11,Henry Hub Natural Gas,$/MMBtu,2.84
2015-08-11,WTI Crude,$/barrel,43.11
2015-08-12,Brent Crude,$/barrel,48.29
2015-08-12,Henry Hub Natural Gas,$/MMBtu,2.93
2015-08-12,WTI Crude,$/barrel,43.22
2015-08-13,Brent Crude,$/barrel,48.01
2015-08-13,Henry Hub Natural Gas,$/MMBtu,2.93
2015-08-13,WTI Crude,$/barrel,42.27
2015-08-14,Brent Crude,$/barrel,47.79
2015-08-14,Henry Hub Natural Gas,$/MMBtu,2.83
2015-08-14,WTI Crude,$/barrel,42.45
2015-08-17,Brent Crude,$/barrel,47.77
2015-08-17,Henry Hub Natural Gas,$/MMBtu,2.79
2015-08-17,WTI Crude,$/barrel,41.93
2015-08-18,Brent Crude,$/barrel,47.0
2015-08-18,Henry Hub Natural Gas,$/MMBtu,2.71
2015-08-18,WTI Crude,$/barrel,42.58
2015-08-19,Brent Crude,$/barrel,45.75
2015-08-19,Henry Hub Natural Gas,$/MMBtu,2.77
2015-08-19,WTI Crude,$/barrel,40.75
2015-08-20,Brent Crude,$/barrel,45.63
2015-08-20,Henry Hub Natural Gas,$/MMBtu,2.77
2015-08-20,WTI Crude,$/barrel,41.0
2015-08-21,Brent Crude,$/barrel,43.84
2015-08-21,Henry Hub Natural Gas,$/MMBtu,2.7
2015-08-21,WTI Crude,$/barrel,40.45
2015-08-24,Brent Crude,$/barrel,41.59
2015-08-24,Henry Hub Natural Gas,$/MMBtu,2.65
2015-08-24,WTI Crude,$/barrel,38.22
2015-08-25,Brent Crude,$/barrel,41.86
2015-08-25,Henry Hub Natural Gas,$/MMBtu,2.71
2015-08-25,WTI Crude,$/barrel,39.15
2015-08-26,Brent Crude,$/barrel,41.76
2015-08-26,Henry Hub Natural Gas,$/MMBtu,2.73
2015-08-26,WTI Crude,$/barrel,38.5
2015-08-27,Brent Crude,$/barrel,44.46
2015-08-27,Henry Hub Natural Gas,$/MMBtu,2.69
2015-08-27,WTI Crude,$/barrel,42.47
2015-08-28,Brent Crude,$/barrel,47.97
2015-08-28,Henry Hub Natural Gas,$/MMBtu,2.69
2015-08-28,WTI Crude,$/barrel,45.29
2015-08-31,Brent Crude,$/barrel,47.97
2015-08-31,Henry Hub Natural Gas,$/MMBtu,2.7
2015-08-31,WTI Crude,$/barrel,49.2
2015-09-01,Brent Crude,$/barrel,48.8
2015-09-01,Henry Hub Natural Gas,$/MMBtu,2.7
2015-09-01,WTI Crude,$/barrel,45.38
2015-09-02,Brent Crude,$/barrel,47.67
2015-09-02,Henry Hub Natural Gas,$/MMBtu,2.7
2015-09-02,WTI Crude,$/barrel,46.3
2015-09-03,Brent Crude,$/barrel,50.41
2015-09-03,Henry Hub Natural Gas,$/MMBtu,2.67
2015-09-03,WTI Crude,$/barrel,46.75
2015-09-04,Brent Crude,$/barrel,48.59
2015-09-04,Henry Hub Natural Gas,$/MMBtu,2.67
2015-09-04,WTI Crude,$/barrel,46.02
2015-09-07,Brent Crude,$/barrel,46.42
2015-09-07,Henry Hub Natural Gas,$/MMBtu,2.67
2015-09-08,Brent Crude,$/barrel,48.88
2015-09-08,Henry Hub Natural Gas,$/MMBtu,2.74
2015-09-08,WTI Crude,$/barrel,45.92
2015-09-09,Brent Crude,$/barrel,48.04
2015-09-09,Henry Hub Natural Gas,$/MMBtu,2.74
2015-09-09,WTI Crude,$/barrel,44.13
